bird_ID,date,bird_played,key_pecked
bl23y3,10/24/2018,yelred_FD,5
bl23y3,10/24/2018,yelred_UD,124
bl23ye3,11/3/2018,bl100pu80_FD,5
bl23ye3,11/3/2018,bl90pi15_FD,28
bl23ye3,11/3/2018,pu17pu18_UD,65
bl23ye3,11/6/2018,bl100pu80_FD,114
bl23ye3,11/6/2018,bl100pu80_UD,9
bl23ye3,11/6/2018,bl34pu94_FD,142
bl23ye3,11/8/2018,bkor_FD,39
bl23ye3,11/8/2018,bkor_UD,18
bl23ye3,11/8/2018,bl100pu80_UD,9
bl23ye3,11/9/2018,bkor_FD,68
bl23ye3,11/9/2018,bkor_UD,110
bl23ye3,11/9/2018,bl43p196_UD,1
bl23ye3,11/9/2018,bl4b13_UD,12
bl23ye3,11/12/2018,bl36p46_calls,57
bl23ye3,11/12/2018,bl43p196_UD,65
bl23ye3,11/12/2018,bl4b13_UD,11
bl23ye3,11/13/2018,bl11pu3_UD,63
bl23ye3,11/13/2018,g32b89_UD,36
bl23ye3,11/14/2018,bl11pu3_UD,192
bl23ye3,11/14/2018,g32b89_UD,91
bl23ye3,11/15/2018,blk17_FD,47
bl23ye3,11/15/2018,blk17_UD,33
